"Name","имя, полное имя","der; die Namen","theme1;noun"
"Wohnort","местожительства","der; die Wohnorte","theme1;noun"
"Sport","спорт","der; -","theme1;noun"
"Technik","техника","der; die Techniken","theme1;noun"
"Kunst","искусство","die; die Künste","theme1;noun"
"Mode","мода","die; die Moden","theme1;noun"
"Stadt","город","die; die Städte","theme1;noun"
"Land","земля,страна","das; die Länder","theme1;noun"
"Nachname","фамилия","der; die Nachnamen; Familienname","theme1;noun"
"Vorname","имя","der; die Vornamen","theme1;noun"
"Verkäufer","продавец","die Verkäuferin; -nen","theme2;noun"
"Ingenieur","инженер","die Ingenieurin; -nen","theme2;noun"
"Arzt","доктор","die Ärzte; die Ärztin-nen ","theme2;noun"
"Reinigungskraft","уборщик","die; die Reinigungskräfte","theme2;noun"
"Beruf","профессия","der; die Berufe","theme2;noun"
"Firma","фирма","die; die Firmen","theme2;noun"
"Adresse","адрес","die; die Adressen","theme2;noun"
"Nummer","номер","die; die Nummern","theme2;noun"
"Postleitzahl","Почтовыйиндекс","die; die Postleitzahlen","theme2;noun"
"Straße","Улица","die; die Straßen","theme2;noun"
"Hobby","хобби","das; die Hobbys","theme2;noun"
"Bleistift","карандаш","der; die Bleistifte","theme3;noun"
"Buch","книга","das; die Bücher","theme3;noun"
"Handy","мобилка","das; -s","theme3;noun"
"Heft","тетрадь","das; -e","theme3;noun"
"Kuli","шариковая ручка","der; -s","theme3;noun"
"Kugelschreiber","шариковая ручка (длинное)","der; -","theme3;noun"
"Lampe","лампа","die; -n","theme3;noun"
"Rediergummi","стирательная резинка","der; -s","theme3;noun"
"Tasche","сумка","die; -n","theme3;noun"
"Tisch","стол","der; -e","theme3;noun"
"Fenster","окно","das; -","theme3;noun"
"Flasche","бутылка","die; -n","theme3;noun"
"Papierkorb","корзина для мусора","der; -ö-e","theme3;noun"
"Stuhl","стул","der; -ü-e","theme3;noun"
"Tafel","доска","die; -n","theme3;noun"
"Tasse","чашка (для чая)","die; -n","theme3;noun"
"Tablet","планшет","das; -s","theme3;noun"
"Jacke","куртка","die; -n","theme3;noun"
"Tür","дверь","die; -en","theme3;noun"
"Ding","вещь","das; -e","theme3;noun"
"Zettel","листик бумажки","der; -","theme3;noun"
"Brille","очки","die; -n","theme3;noun"
"Stift","стержень","der; -e","theme3;noun"
"Uhr","часы","die; -en","theme3;noun"
"Bild","картина","das; -er","theme3;noun"
"Computer","компьютер","der; -","theme3;noun"
"Laptop","ноутбук","das; -s","theme3;noun"
"Maus","мышь","die; -äu-e","theme3;noun"
"Süßichkeit","сладость","die; -en","theme3;noun"
"Auto","машина","das; -s","theme3;noun"
"Jahr","год","das; -e","theme3;noun"
"Füller","авторучка","der; -","theme3;noun"
"Kamera","камера","die; -s","theme3;noun"
"Schuh","ботинок","der; -e","theme4;noun"
"Ladekabel","кабель зарядки","das; -","theme4;noun"
"Hut","шляпа","der; -ü-e","theme4;noun"
"Kleid","платье","das; -er","theme4;noun"
"Lippenstift","помада","der; -e","theme4;noun"
"Sonnenbrille","солнечные очки","die; -n","theme4;noun"
"Batterie","батарейка","die; -n","theme4;noun"
"Hose","брюки","die; -n","theme4;noun"
"Koffer","чемодан","der; -","theme4;noun"
"Handyhülle","чехол для телефона","die; -n","theme4;noun"
"Kette","ожерелье","die; -n","theme4;noun"
"Ring","кольцо","der; -e","theme4;noun"
"CD","СД","die; - ","theme4;noun"
"Smartphone","смартфон","das; -s","theme4;noun"
"Tipp","совет","der; -s","theme4;noun"
"Tee","чай","der; -s","theme4;noun"
"Traum","мечта","der; -äu-e","theme4;noun"
"Hafen","порт","der; -ä-","theme4;noun"
"Schiff","корабль","das; -e","theme4;noun"
"Theater","театр","das; -","theme4;noun"
"Foto","фото","das; -s","theme4;noun"
"Mann","мужчина","der; ä-er","theme4;noun"
"Film","фильм","der; -e","theme5;noun"
"Freund","друг","der; -e","theme5;noun"
"Freundin","подруга","die; -en","theme5;noun"
"Frühling","весна","das; - (Sg.)","theme5;noun"
"Sommer","лето","das; - (Sg.)","theme5;noun"
"Winter","зима","das; - (Sg.)","theme5;noun"
"Herbst","осень","das; - (Sg.)","theme5;noun"
"Tag","день","der; -e","theme5;noun"
"Woche","неделя","die; -n","theme5;noun"
"Montag","понедельник","der; -e","theme5;noun"
"Dienstag","вторник","der; -e","theme5;noun"
"Mittwoch","среда","der; -e","theme5;noun"
"Donnerstag","четверг","der; -e","theme5;noun"
"Freitag","пятница","der; -e","theme5;noun"
"Samstag","суббота","der; -e","theme5;noun"
"Sonntag","воскресенье","der; -e","theme5;noun"
"Wochenende","выходной","das; -n","theme5;noun"
"Zeit","время","die; -en","theme5;noun"
"Leute","люди","die (Pl.)","theme5;noun"
"Ehepartner","супруг","der; -","theme6;noun"
"Ehepartnerin","супруга","die; -nen","theme6;noun"
"Vater","отец","der; -ä-","theme6;noun"
"Mutter","мама","die; -ü-","theme6;noun"
"Oma","бабушка","die; -s","theme6;noun"
"Opa","дедушка","der; -s","theme6;noun"
"Schwester","сестра","die; -n","theme6;noun"
"Bruder","брат","der; -ü-","theme6;noun"
"Geschwister","сестры-братья","die (Pl.)","theme6;noun"
"Kind","ребенок","das; -er","theme6;noun"
"Sohn","сын","der; -ö-e","theme6;noun"
"Tochter","дочь","die; -ö-","theme6;noun"
"Tante","тетя","die; -n","theme6;noun"
"Onkel","дядя","der; -","theme6;noun"
"Eltern","родители","die (Pl.)","theme6;noun"
"Nichte","племянница","die; -n","theme6;noun"
"Neffe","племянник","der; -n","theme6;noun"
"Enkel","внук","der; -","theme6;noun"
"Enkelin","внучка","die; -nen","theme6;noun"
"Cousin","кузин","der; -s","theme6;noun"
"Cousine","кузина","die; -n","theme6;noun"
"Ausland","заграница","das (Sg.)","theme6;noun"
"Familie","семья","die; -n","theme6;noun"
"Brief","письмо","der; -e","theme6;noun"
"Party","вечеринка","die; -s","theme6;noun"
"Feier","праздник","die; -n","theme6;noun"
"Sprache","язык","die; -n","theme6;noun"
"Deutche","немка","die (Pl.)","theme6;noun"
"Deutcher","немец","der (Sg.)","theme6;noun"
"Österreicher","австриец","der; -","theme6;noun"
"Österreicherin","австрийка","die; -nen","theme6;noun"
"Schweizer","швейцар","der; -","theme6;noun"
"Schweizerin","швейцарка","die; -nen","theme6;noun"
"Geburtstag","день рождения","der; -e","theme6;noun"
"Geschenk","подарок","das; -e","theme6;noun"
"Arbeitplatz","место работы","der; -ä-e","theme6;noun"
"Chef","шеф","der; -s","theme6;noun"
"Chefin","женщина-шеф","die; -nen","theme6;noun"
"Geld","деньги","das (Sg.)","theme6;noun"
"Kollege","коллега","der; -n","theme6;noun"
"Kollegin","коллега-женщина","die; -nen","theme6;noun"
"Kuchen","торт","der; -","theme6;noun"
"Pause","пауза","die; -n","theme6;noun"
"Haus","дом","das; -äu-er","theme6;noun"
"Schnee","снег","der (Sg.)","theme6;noun"
"Berg","гора","der; -e","theme6;noun"
"Baum","дерево","der; -äu-e","theme6;noun"
"Apfel","яблоко","der; Ä-","theme7;noun"
"Butter","масло","die (Sg.)","theme7;noun"
"Ei","яйцо","die; -er","theme7;noun"
