"wohnen","жить","gewohnt","verb;theme1"
"mögen","нравиться","gemocht","verb;theme1"
"lernen","учиться","gelernt","verb;theme1"
"studieren","изучать","studiert","verb;theme1"
"schreiben","писать","geschrieben","verb;theme1"
"heißen","зваться, называться","geheißen","verb;theme1"
"sein","быть","-","verb;theme1"
"machen","делать","gemacht","verb;theme2"
"arbeiten","работать","gearbeitet","verb;theme2"
"wiederholen","повторять","wiederholt","verb;theme3"
"verstehen","понимать","verstanden","verb;theme3"
"kosten","стоить","gekostet","verb;theme3"
"fragen","спрашивать","gefragt","verb;theme3"
"funktionieren","функционировать","funktioniert","verb;theme3"
"gehen","идти","gegangen","verb;theme4"
"brauchen","нуждаться","gebraucht","verb;theme4"
"suchen","искать","gesucht","verb;theme4"
"möchten","хочу","er möchte; nein perfekt","verb;theme4"
"glauben","считать(иметь мнение)","geglaubt","verb;theme4"
"haben","иметь","er hat; gehabt","verb;theme4"
"denken","думать","gedacht","verb;theme4"
"kennen","знать","gekant","verb;theme4"
"finden","находить","gefunden","verb;theme4"
"kaufen","покупать","gekauft","verb;theme4"
"hören","слушать","gehört","verb;theme5"
"tanzen","танцевать","getanzt","verb;theme5"
"fahren","ездить","fährt/fährst; sein + gefahren","verb;theme5"
"sehen","смотреть","sieht/siehst; gesehen","verb;theme5"
"fotografieren","фотографировать","fotografiert","verb;theme5"
"spielen","играть","gespielt","verb;theme5"
"kochen","готовить","gekocht","verb;theme5"
"treffen","встречаться","triffst/trifft; getroffen","verb;theme5"
"lesen","читать","liest/liest; gelesen","verb;theme5"
"wandern","ходить в поход","sein + gewandert","verb;theme5"
"schwimmen","плавать","sein + geschwommen","verb;theme5"
"laufen","кататься","läuft/läufst; sein + gelaufen","verb;theme5"
"schlafen","спать","schläft/schläfst; geschlafen","verb;theme5"
"sprechen","разговаривать","spricht/sprichst; gesprochen","verb;theme5"
"anfangen","начинать","anfängt/anfängst; angefangen","verb;theme5"
"aufhören","заканчивать","aufgehören","verb;theme5"
"wegfahren","уезжать","fährt/fährst; sein + weggefahren","verb;theme5"
